external_id,brand,processor,ram,ssd,hard_disk,operating_system,graphics,screen_size,resolution
LAP-000511,Dell,12th Gen Core i7,16,512,0,Windows,2 GB NVIDIA GeForce MX550,14.5,2560x1440
LAP-000512,Acer,12th Gen Core i3,8,512,0,Windows,Intel Integrated,15.6,1920x1080
LAP-000513,Acer,11th Gen Core i3,8,512,0,Windows,Intel Integrated UHD Graphics,15.6,1920x1080
LAP-000514,Lenovo,AMD Ryzen 5 5625U,16,512,0,Windows,AMD Radeon Graphics,15.6,1920x1080
LAP-000515,Asus,AMD Ryzen 5 4600H,8,1000,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000516,Asus,12th Gen Core i5,16,512,0,Windows,Intel Iris Xe,14.0,2880x1800
LAP-000517,Lenovo,12th Gen Core i7,16,1000,0,Windows,Intel Iris Xe Graphics,14.0,1920x1200
LAP-000518,Asus,12th Gen Core i3,8,512,0,Windows,Intel Iris Xe,14.0,2880x1800
LAP-000519,Dell,11th Gen Core i7,16,512,0,Windows,6 GB NVIDIA Geforce RTX 3060,15.6,1920x1080
LAP-000520,Lenovo,11th Gen Core i5,8,256,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000521,Asus,12th Gen Core i3,8,512,0,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000522,Asus,AMD Ryzen 9 6900HX,16,1000,0,Windows,8 GB NVIDIA GeForce RTX 3070 Ti,17.3,2560x1440
LAP-000523,Lenovo,10th Gen Core i5,8,512,0,Windows,Intel UHD Graphics,15.6,1920x1080
LAP-000524,Lenovo,12th Gen Core i5,16,512,0,Windows,Intel Iris Xe Graphics,15.6,2880x1800
LAP-000525,Lenovo,11th Gen Core i5,16,512,0,Windows,Intel Iris Xe Graphics,14.0,1920x1080
LAP-000526,AGB,11th Gen Core i7,32,1000,0,Windows,2 GB NVIDIA Geforce MX450,15.6,1920x1080
LAP-000527,Infinix,11th Gen Core i3,8,512,0,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000528,Dell,12th Gen Core i7,16,1000,0,Windows,Intel Iris Xe Graphics,13.4,3840x2400
LAP-000529,Lenovo,12th Gen Core i5,8,512,0,Windows,‎Intel Iris Xe Graphics,14.0,1920x1080
LAP-000530,Asus,Celeron N4500,4,256,0,Windows,Intel UHD Graphics,14.0,1920x1080
LAP-000531,MSI,12th Gen Core i7,32,1000,0,Windows,16 GB NVIDIA GeForce RTX A5500,16.0,2560x1600
LAP-000532,Lenovo,AMD Ryzen 7 5700U,16,512,0,Windows,AMD Radeon,14.0,1920x1200
LAP-000533,Dell,12th Gen Core i5,16,512,0,Windows,Iris Xe,13.4,1920x1080
LAP-000534,Asus,12th Gen Core i7,16,512,0,Windows,Intel Iris XE Graphics,15.6,1920x1080
LAP-000535,Acer,AMD Ryzen 3 3250U,8,256,0,Windows,AMD Radeon AMD,15.6,1920x1080
LAP-000536,MSI,12th Gen Core i9,64,2000,0,Windows,12 GB NVIDIA GeForce RTX A3000,17.3,2560x1600
LAP-000537,Lenovo,Ryzen 5 5500U,16,512,0,Windows,AMD Radeon Graphics,13.3,1920x1080
LAP-000538,HP,AMD Ryzen 3 3250U,8,256,0,Windows,AMD Radeon AMD,14.0,1920x1080
LAP-000539,MSI,12th Gen Core i7,32,1000,0,Windows,8 GB NVIDIA GeForce RTX A2000,16.0,2560x1600
LAP-000540,HP,12th Gen Core i9,32,2000,0,Windows,16 GB NVIDIA GeForce 3080Ti,16.1,2560x1440
LAP-000541,HP,AMD Ryzen 9 6900HX,32,1000,0,Windows,8 GB AMD Radeon RX 6650M Graphics,16.1,1920x1080
LAP-000542,Lenovo,12th Gen Core i5,8,512,0,Windows,Intel Iris Xe Graphics,14.0,1920x1080
LAP-000543,HP,12th Gen Core i7,16,1000,0,Windows,8 GB NVIDIA GeForce 3070Ti,16.1,1920x1080
LAP-000544,Chuwi,Intel Celeron N5100,8,256,0,Windows,Intel UHD 600 Graphics,14.0,2160x1440
LAP-000545,HP,12th Gen Core i7,16,1000,0,Windows,6 GB NVIDIA GeForce RTX 3060,16.1,1920x1080
LAP-000546,Lenovo,12th Gen Core i5,16,512,0,Windows,Iris Xe Graphics,15.6,1920x1080
LAP-000547,Lenovo,12th Gen Core i5,16,512,0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920x1080
LAP-000548,HP,AMD Ryzen 7 6800H,16,1000,0,Windows,6 GB NVIDIA GeForce RTX 3060,16.1,1920x1080
LAP-000549,Lenovo,12th Gen Core i5,8,512,0,Windows,Intel UHD,14.0,1920x1200
LAP-000550,HP,AMD Ryzen 5 5600H,8,512,0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920x1080
LAP-000551,Dell,12th Gen Core i7,16,512,0,Windows,Iris Xe,13.4,1920x1080
